Category_item,Weight_kg,Volumetric_Weight_kg,Fragility,Moisture_Sens,Shipping_Mode,Distance_km,Packaging_Used,Cost_USD,CO2_Emission_kg_item,Material_ID,Material_Name,Category_material,Density_kg_m3,Tensile_Strength_MPa,Cost_per_kg,CO2_Emission_kg_material,Biodegradable,co2_impact_index,cost_efficiency_index,environmental_impact_score,material_suitability_score,sustainability_score,sustainability_rating,Item_Volume_m3
Clothing,0.82,1.41,5,False,Air,1893,Kraft Paper Mailer,1.56,6.673,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,49.96,8.88,26.85,26.22,0.396871493598827,D,0.007056
Electronics,0.29,0.0,9,True,Air,2141,Mushroom Pkg (Mycelium),1.92,1.552,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,78.0,5.37,7.96,3.72,0.8095476369915029,D,0.0
Furniture,12.26,38.06,6,False,Road,1491,Wood Crate,16.42,28.374,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,45.51,33.0,26.71,11.5,1.482590734459351,B,0.19032
Furniture,11.56,38.27,5,False,Road,530,Wood Crate,16.31,10.142,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,58.46,27.73,20.36,13.44,1.6343810592150756,B,0.19136
Clothing,0.25,0.08,1,False,Air,1587,Kraft Paper Mailer,0.3,0.992,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,81.47,1.08,9.94,78.9,0.1303822806456458,E,0.000396
Furniture,51.07,304.08,7,False,Road,1910,Wood Crate,123.03,290.396,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,10.33,41.22,43.96,10.05,1.125204705978055,C,1.520394
Clothing,0.19,0.2,1,False,Air,1179,Kraft Paper Mailer,0.28,0.59,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,86.94,0.83,7.01,78.9,0.142082718675789,E,0.001008
Home Decor,1.02,1.14,9,False,Air,1191,Mushroom Pkg (Mycelium),2.26,3.394,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,64.65,19.54,12.79,3.08,1.8333071279666044,B,0.005684
Home Decor,2.98,1.25,10,False,Road,403,Mushroom Pkg (Mycelium),3.19,0.6,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,88.67,40.93,4.1,2.79,11.97950927329042,A,0.00624
Electronics,0.39,0.0,8,True,Road,339,Mushroom Pkg (Mycelium),1.76,0.066,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,98.63,7.21,0.5,4.15,17.303965392069216,A,0.0
Furniture,10.2,33.08,5,False,Road,2959,Wood Crate,14.23,48.942,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,38.03,27.47,30.38,13.44,1.085055922150891,C,0.165416
Beauty,0.67,0.2,3,True,Air,917,PLA Bioplastic,0.87,1.536,575.0,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,68.98,10.57,17.65,49.94,0.7186401859127375,D,0.001008
Furniture,10.4,37.3,4,False,Road,1838,Wood Crate,15.72,34.279,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,43.13,22.3,27.88,16.15,0.9598277991453444,C,0.186496
Electronics,0.12,0.0,5,True,Air,2936,Honeycomb Paper,1.05,0.881,602.0,Honeycomb Paper,Paper,380,42.0,1.95,0.75,Yes,84.59,0.87,7.26,18.57,0.1438016330851745,E,2e-05
